Date,Open Price,High Price,Low Price,Close Price,WAP,Total Shares,Total Trades,Change(%)
4-Jul-19,1282,1291.25,1280.75,1283,1285.72048,319573,8020,1
5-Jul-19,1287.05,1290.2,1259.45,1262.6,1274.546079,350612,9337,-24.45
8-Jul-19,1261,1267.7,1248.05,1251.9,1256.313081,348852,10400,-9.1
9-Jul-19,1250.3,1283.85,1245.1,1279.45,1272.139037,528377,12502,29.15
10-Jul-19,1281.2,1288.7,1269,1278.35,1276.819297,384665,9892,-2.85
11-Jul-19,1284.05,1289.75,1279.6,1281.3,1284.653903,156332,5750,-2.75
12-Jul-19,1284.7,1299.8,1278,1280.6,1290.874912,321654,9695,-4.1
15-Jul-19,1285,1289,1271,1275.9,1276.185581,245812,10382,-9.1
16-Jul-19,1279,1295,1269.1,1293.1,1280.984161,583479,11000,14.1
17-Jul-19,1296.8,1296.8,1280,1281.55,1286.969496,159911,5587,-15.25
18-Jul-19,1281.9,1286.2,1258,1261.8,1269.861518,181908,7220,-20.1
19-Jul-19,1268.25,1271,1243,1249,1256.839135,322482,14090,-19.25
22-Jul-19,1256.95,1284.55,1227.6,1280.5,1262.310926,585651,21941,23.55
23-Jul-19,1285.7,1294,1261.3,1272.85,1282.551008,425680,15380,-12.85
24-Jul-19,1274,1279.05,1254.4,1258.8,1260.941336,494832,15224,-15.2
25-Jul-19,1267.95,1268.8,1227.15,1232.3,1244.896137,382454,13505,-35.65
26-Jul-19,1233.45,1242,1210.05,1214.1,1221.917028,552475,16580,-19.35
29-Jul-19,1219.4,1221.5,1205.1,1211.15,1212.390373,416379,15942,-8.25
30-Jul-19,1211.25,1219.9,1175.8,1180.55,1201.482748,413976,13254,-30.7
31-Jul-19,1177.95,1184.85,1163,1166,1172.999342,363098,12108,-11.95
1-Aug-19,1169.8,1188.3,1150.2,1180.55,1165.314029,430950,15545,10.75
2-Aug-19,1175.5,1198,1162.35,1184.2,1182.507424,523278,14362,8.7
5-Aug-19,1177.5,1177.5,1129,1143,1143.316935,607913,18720,-34.5
6-Aug-19,1136.8,1149.9,1121.95,1128,1136.447531,433717,14572,-8.8
7-Aug-19,1127.8,1138.4,1103,1109,1119.732006,546804,16020,-18.8
8-Aug-19,1109,1158,1095.65,1151.95,1126.766763,861938,22134,42.95
9-Aug-19,1159,1175,1152.7,1162,1165.760952,528918,14494,3
13-Aug-19,1240,1302.5,1225.3,1275,1276.539731,2092112,55153,35
14-Aug-19,1298,1304,1280.1,1288.3,1291.503412,785411,24593,-9.7
16-Aug-19,1290.55,1291,1273.2,1277.4,1280.241602,339588,11206,-13.15
19-Aug-19,1280.8,1296.65,1280.55,1292.1,1289.943918,463484,15977,11.3
20-Aug-19,1294,1294,1272.85,1276,1280.325881,291530,9667,-18
21-Aug-19,1277.4,1278.4,1266.65,1270.8,1271.296138,233087,7841,-6.6
22-Aug-19,1271,1271.05,1239.05,1246.5,1251.809231,403122,10685,-24.5
23-Aug-19,1243,1283.9,1226.8,1275.95,1257.657285,513210,14360,32.95
26-Aug-19,1294,1294,1259.7,1265.9,1274.719995,323755,10133,-28.1
27-Aug-19,1283,1283.9,1261.8,1275.1,1271.0205,350824,11806,-7.9
28-Aug-19,1276,1280.5,1256.85,1263.05,1265.27143,260137,8595,-12.95
29-Aug-19,1257.95,1260,1235.5,1242.2,1250.313979,397297,9906,-15.75
30-Aug-19,1247,1254,1220.85,1248.35,1236.844742,680248,17323,1.35
3-Sep-19,1240,1243.05,1200,1205.9,1223.706053,328171,11177,-34.1
4-Sep-19,1200,1204.9,1185.5,1201.55,1195.947298,517321,12746,1.55
5-Sep-19,1208,1213.75,1193.2,1198.3,1202.471062,503380,12110,-9.7
6-Sep-19,1205,1229,1196.25,1222.5,1216.211781,519895,15453,17.5
9-Sep-19,1222,1232.75,1213.2,1222.1,1224.495936,278530,12879,0.1
11-Sep-19,1222.7,1239.95,1222.7,1234.1,1233.735744,206849,8132,11.4
12-Sep-19,1238,1239.6,1206.35,1210.35,1221.600539,251041,7713,-27.65
13-Sep-19,1214.7,1228.25,1207.05,1225.55,1217.018065,547909,10103,10.85
16-Sep-19,1191,1218.15,1188.5,1210.8,1205.850422,366945,12722,19.8
17-Sep-19,1214.8,1214.8,1193.7,1197.2,1201.895088,234035,7990,-17.6
18-Sep-19,1204.85,1216.1,1197.6,1205.7,1206.15709,298269,10750,0.85
19-Sep-19,1207,1209.35,1173.25,1178.7,1188.691767,349304,12272,-28.3
20-Sep-19,1186.6,1269.5,1174.6,1254.4,1236.379657,1076465,31967,67.8
23-Sep-19,1278,1280.85,1233.2,1238.65,1248.74228,757163,22433,-39.35
24-Sep-19,1243,1298.55,1242.05,1278.55,1283.240879,960949,29712,35.55
25-Sep-19,1281,1295.45,1269.35,1279.8,1285.03568,416620,11835,-1.2
26-Sep-19,1290,1298.7,1283.45,1296.6,1292.357781,488106,11735,6.6
27-Sep-19,1293.8,1314.9,1284,1308.75,1307.68741,444521,14551,14.95
30-Sep-19,1310,1336,1305.8,1332.6,1322.030308,449676,15970,22.6
1-Oct-19,1335,1342.5,1293.8,1305.05,1318.564544,360415,12100,-29.95
3-Oct-19,1290.05,1314.1,1281.2,1311,1306.066844,178536,7640,20.95
4-Oct-19,1317.1,1328.5,1304.05,1307.45,1318.929847,247244,9307,-9.65
7-Oct-19,1310,1320,1301.55,1309.8,1312.028574,192830,7629,-0.2
9-Oct-19,1311.9,1330,1293.15,1325.75,1310.433867,236137,8136,13.85
10-Oct-19,1328,1368,1322.55,1362.4,1357.030772,682081,22000,34.4
11-Oct-19,1365,1366,1337,1352.4,1352.183444,286839,11135,-12.6
14-Oct-19,1363.6,1363.6,1351,1357.65,1358.2785,222880,9270,-5.95
15-Oct-19,1363.5,1370,1345,1363.3,1364.033932,197367,6566,-0.2
16-Oct-19,1368.3,1379.9,1363.5,1372.7,1372.422131,193229,7405,4.4
17-Oct-19,1378,1399,1372.15,1396.15,1387.126902,282943,10495,18.15
18-Oct-19,1403.1,1428,1399.7,1415.3,1416.679464,629451,20580,12.2
22-Oct-19,1427.05,1437.65,1404,1414.25,1419.641959,638098,16761,-12.8
23-Oct-19,1417,1425.5,1383.4,1392.85,1403.669317,307585,9272,-24.15
24-Oct-19,1400.05,1441,1386.75,1436.25,1416.718467,433374,14812,36.2
25-Oct-19,1437.5,1440.25,1411.8,1430.7,1426.704736,359803,8727,-6.8
27-Oct-19,1440,1445.75,1430,1434.1,1437.907734,75033,4205,-5.9
29-Oct-19,1442.25,1480.4,1442.25,1467.1,1466.750161,516396,15723,24.85
30-Oct-19,1480.1,1484,1460.4,1478.7,1473.040801,1226942,7766,-1.4
31-Oct-19,1482.25,1489.5,1461,1464.2,1472.041101,235883,8335,-18.05
1-Nov-19,1459.9,1462.05,1441.1,1457,1451.867891,211205,13572,-2.9
4-Nov-19,1466,1471.15,1445,1457.25,1454.237622,434639,9852,-8.75
5-Nov-19,1458.55,1469,1440.6,1447.6,1450.801111,217549,7328,-10.95
6-Nov-19,1445.7,1446.2,1428.7,1432.1,1434.968337,418283,8697,-13.6
7-Nov-19,1438,1462.9,1432.95,1458.8,1447.953507,295528,7713,20.8
8-Nov-19,1458.6,1459.6,1441,1445.35,1447.060343,371642,8831,-13.25
11-Nov-19,1440,1444.05,1423.35,1427.8,1430.555462,257103,7360,-12.2
13-Nov-19,1431,1475,1430,1472,1463.076267,468318,13320,41
14-Nov-19,1475,1481,1456.05,1463.4,1468.114063,348202,6349,-11.6
15-Nov-19,1465.25,1486.5,1463.25,1469.3,1478.190602,437787,9141,4.05
18-Nov-19,1471.35,1486,1449.95,1458.5,1466.523144,294198,8955,-12.85
19-Nov-19,1467.5,1514.95,1465.5,1509.8,1497.356291,826626,23661,42.3
20-Nov-19,1552.55,1571.85,1543.55,1547.05,1560.45759,1140656,34141,-5.5
21-Nov-19,1547.5,1556.3,1528.6,1537.25,1537.213181,591358,20290,-10.25
22-Nov-19,1543,1569.6,1537.9,1546.4,1550.284035,475417,16723,3.4
25-Nov-19,1551,1564.6,1551,1560.7,1558.926298,260903,15879,9.7
26-Nov-19,1569.4,1576,1556,1558.85,1565.797396,334268,13120,-10.55
27-Nov-19,1561,1575,1556.4,1569.75,1564.948431,179080,7672,8.75
28-Nov-19,1572.5,1584,1564.4,1579.95,1577.600117,273450,11289,7.45
29-Nov-19,1582,1582,1548,1550.9,1559.504852,226724,9087,-31.1
2-Dec-19,1595,1614,1577.7,1586.3,1590.501901,692915,19801,-8.7
3-Dec-19,1591,1593.35,1573.1,1578.85,1578.653487,370722,10451,-12.15
4-Dec-19,1570.25,1577.05,1533.45,1552.55,1550.988322,558332,15289,-17.7
5-Dec-19,1579,1579.85,1544,1550.3,1560.871732,378637,13717,-28.7
6-Dec-19,1558,1568.2,1541.4,1554.95,1554.888724,343319,9361,-3.05
9-Dec-19,1554.15,1577.3,1547.65,1572.55,1566.061351,307151,12737,18.4
10-Dec-19,1571.9,1574.8,1554.25,1562.2,1560.59708,209096,8144,-9.7
11-Dec-19,1557.5,1575.15,1551,1562.6,1564.174841,615737,8366,5.1
12-Dec-19,1567,1573.6,1557.25,1567.5,1567.116694,585429,9350,0.5
13-Dec-19,1575,1590,1572.55,1582.45,1579.036988,611627,9401,7.45
16-Dec-19,1589.3,1593,1563.6,1566.55,1574.049974,281506,9740,-22.75
17-Dec-19,1569.8,1579.5,1555.6,1562.15,1563.05892,320894,12649,-7.65
18-Dec-19,1562.15,1580,1562,1575.7,1569.127183,279220,11780,13.55
19-Dec-19,1574.7,1615,1572.35,1605.15,1601.599317,1024480,13026,30.45
20-Dec-19,1611.2,1617.8,1595.65,1599.4,1607.428344,315858,13004,-11.8
23-Dec-19,1555,1577,1555,1571,1562.107792,1274110,18294,16
24-Dec-19,1570.9,1572.15,1542.75,1545.95,1555.902932,232508,10853,-24.95
26-Dec-19,1545.95,1553.3,1510.95,1515.95,1534.656346,577183,17878,-30
27-Dec-19,1525,1545.8,1521.45,1542.15,1532.595866,485460,16027,17.15
30-Dec-19,1543,1547,1528.3,1544.2,1537.756116,371439,11771,1.2
31-Dec-19,1544.7,1544.7,1509.1,1514.1,1527.064145,295706,10474,-30.6
1-Jan-20,1516.1,1527.4,1505.35,1509.7,1513.892414,456824,11005,-6.4
2-Jan-20,1514,1540.8,1513,1535.35,1523.276102,726289,13358,21.35
3-Jan-20,1534.4,1541.3,1523.4,1537.25,1535.087741,354087,10840,2.85
